date,return
2020-01-02,-0.004636638472780601
2020-01-03,0.0012971225173473654
2020-01-06,0.0040661002457397875
2020-01-07,-0.0037284366009583715
2020-01-08,0.008142532392404622
2020-01-09,0.00849508373900687
2020-01-10,0.0020189111651000326
2020-01-13,0.010030719945381374
2020-01-14,-0.008092229117055837
2020-01-15,0.0068239814476633385
2020-01-16,0.013911617230338067
2020-01-17,0.0074973974128965636
2020-01-21,-0.0037696636583507345
2020-01-22,0.004920364613941744
2020-01-23,0.0014841635945815985
2020-01-24,-0.0064915844408651455
2020-01-27,-0.019543224945790125
2020-01-28,0.011529126553881454
2020-01-29,-0.001444682345568182
2020-01-30,0.008874462859046217
2020-01-31,-0.022161888623509568
2020-02-03,0.018514907042062885
2020-02-04,0.014372365067063863
2020-02-05,0.003500434885343031
2020-02-06,0.0028687337564951925
2020-02-07,-0.006033803953404536
2020-02-10,0.00847708908111177
2020-02-11,0.002679476763535284
2020-02-12,0.007895705870721081
2020-02-13,0.0027827664038501854
2020-02-14,-0.00590664812558788
2020-02-18,-0.00034640664389032827
2020-02-19,0.0015391127721154359
2020-02-20,0.003060656136257688
2020-02-21,0.0002196453535407088
2020-02-24,-0.03957183400816465
2020-02-25,-0.03035225409547279
2020-02-26,-0.006481844616252024
2020-02-27,-0.0422273865230195
2020-02-28,-0.0037215296799935726
2020-03-02,0.05027487507804891
2020-03-03,-0.03863599193831995
2020-03-04,0.03948970262807609
2020-03-05,-0.03643999205696305
2020-03-06,-0.013810084693561368
2020-03-09,-0.06846582901620954
2020-03-10,0.04974369190988454
2020-03-11,-0.04295352284757554
2020-03-12,-0.09753647705825234
2020-03-13,0.07946577387160166
2020-03-16,-0.09749497898390333
2020-03-17,0.019589526053874772
2020-03-18,-0.05244891587673132
2020-03-19,0.04146237892874521
2020-03-20,-0.07017230039636521
2020-03-23,0.02645810195584927
2020-03-24,0.04273729236591423
2020-03-25,-0.013772516278094685
2020-03-26,0.06352190342001897
2020-03-27,-0.02375433390273023
2020-03-30,0.03190366074285186
2020-03-31,-0.02364397093442075
2020-04-01,-0.029584309726756148
2020-04-02,0.023893630021513484
2020-04-03,-0.024533508646219063
2020-04-06,0.09622350868882988
