,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown,Avg Turnover
Mean-Variance,1.3701578072882903,0.1887064482973302,0.20045983649878626,0.9633875923278825,0.606792825404737,1.1647081783555175,0.31098991352025473,0.05093888569508643
LSTM,1.469661740709041,0.19853946742531603,0.22828631960037504,0.9083136523342846,0.6518424159278835,1.1306392945374322,0.30458200106953676,0.0021905614535815392
Equal Weight,0.8975174547939415,0.13690875078051312,0.20829673549003508,0.720732196725219,0.40862203463828056,0.8783472339528046,0.3350498484539806,0.0014001591089896584
Risk Parity,0.8040356030010938,0.12546112333892934,0.19650415337547872,0.7002647249214561,0.3798345323069605,0.8388758052023257,0.33030467918998696,0.004795251363405388
Transformer,0.8533616705963025,0.13155908910025382,0.23334497703647417,0.6468640307320086,0.40119438747761793,0.8240946684254408,0.3279185681718773,0.009760894823055007
XGBoost,0.8407528629475634,0.13001278262096028,0.23823623482381373,0.6326176867658364,0.38798293442481757,0.819746105144346,0.33509923010841564,0.013173812945020503
LightGBM,0.7509304730524526,0.11874506158135678,0.21959622552432417,0.6210503870371207,0.37587358907053386,0.8022158070399931,0.3159175452443771,0.010222334036472498
