,0
2022-05-24,-0.014667073996862432
2022-05-25,0.025422155827150072
2022-05-26,0.012957879649991087
2022-05-27,0.012155268030787246
2022-05-31,-0.0015016157998948962
2022-06-01,-0.003718687683144618
2022-06-02,0.014830542704463353
2022-06-03,-0.009997582576118052
2022-06-06,0.000707578146237462
2022-06-07,0.005428827943963519
2022-06-08,-0.007334863103432924
2022-06-09,-0.013044822214507635
2022-06-10,-0.04295473559108024
2022-06-13,-0.060440202732864816
2022-06-14,-0.006131775473850103
2022-06-15,0.030445060655251297
2022-06-16,-0.053491960858883414
2022-06-17,0.008279880960571445
2022-06-21,0.03909855992291451
2022-06-22,0.0016720540533619506
2022-06-23,0.01469167668637329
2022-06-24,0.04206832128815365
2022-06-27,-0.0029587348328868456
2022-06-28,-0.011525754584149688
2022-06-29,-0.0013528766941002198
2022-06-30,-0.00870262892924569
2022-07-01,0.01119290157460164
2022-07-05,0.003738311567790772
2022-07-06,-0.0001090316950250051
2022-07-07,0.025961141047837828
2022-07-08,0.00038978286771873446
2022-07-11,-0.016366122682776263
2022-07-12,-0.014812466495243232
2022-07-13,-0.00545852184030489
2022-07-14,-0.004727999331866712
2022-07-15,0.033577924202264874
2022-07-18,-0.00801678157167158
2022-07-19,0.02983070495547883
2022-07-20,0.0015292075809293251
2022-07-21,0.005281854827019721
2022-07-22,-0.004659798319306713
2022-07-25,0.0018235992029847722
2022-07-26,-0.008358651251273552
2022-07-27,0.035434083975698936
2022-07-28,0.007393692137317288
2022-07-29,0.008368851051324752
2022-08-01,-0.002132390112612168
2022-08-02,-0.0028470623569098697
2022-08-03,0.009202701459723584
2022-08-04,-0.00013657849204815064
2022-08-05,-0.0014270030026796367
2022-08-08,-0.0006658528590275182
2022-08-09,-0.00226147526807015
2022-08-10,0.009232404220560342
2022-08-11,6.245371692766195e-05
2022-08-12,0.008070217315909133
2022-08-15,0.0034863769029352073
2022-08-16,8.83117311694207e-05
2022-08-17,-0.0037211925493039833
2022-08-18,0.0027151552956851763
2022-08-19,-0.005047837450805176
2022-08-22,-0.009360268847594066
2022-08-23,-0.0023556179154183084
2022-08-24,0.004684125980305207
2022-08-25,0.01005224817371579
2022-08-26,-0.02519508335253598
2022-08-29,-0.00817655163592019
2022-08-30,-0.01466773368781678
2022-08-31,-0.0076906287082741465
2022-09-01,0.0026347096966359727
2022-09-02,-0.017784623792251156
2022-09-06,-0.007039533973044198
2022-09-07,0.0282042567515191
2022-09-08,0.01081808050868924
2022-09-09,0.0111472223272846
2022-09-12,0.005060147130390937
2022-09-13,-0.02368408943925473
2022-09-14,0.011090664609768512
2022-09-15,-0.008802322074595593
2022-09-16,-0.008011556886551214
2022-09-19,0.008665360874868158
2022-09-20,-0.019621725939256963
2022-09-21,-0.028063719552156197
2022-09-22,-0.020292225438632475
2022-09-23,-0.03306666889956185
2022-09-26,-0.013073338188158305
2022-09-27,-0.003224873171233816
2022-09-28,0.035232802576454884
2022-09-29,-0.027673999381557922
2022-09-30,-0.024282793057871385
2022-10-03,0.03475969833005939
2022-10-04,0.023898209500535214
2022-10-05,-0.0007557269180949962
2022-10-06,-0.004797617706480157
2022-10-07,-0.014757727544802509
2022-10-10,-0.004200327380617916
2022-10-11,-0.01095428715617798
2022-10-12,-0.002058414948319552
2022-10-13,0.039827874119605394
2022-10-14,-0.025063849151973475
2022-10-17,0.03459697933227391
2022-10-18,0.0048761555472284284
2022-10-19,0.0016379383140194019
2022-10-20,-0.002571255209746674
2022-10-21,0.0137218739412548
2022-10-24,0.005344407507065542
2022-10-25,0.010059086891145015
2022-10-26,0.0004625953901786868
2022-10-27,-0.0026968053599913983
2022-10-28,0.01582928136665331
2022-10-31,-0.0038565419247143275
2022-11-01,-0.0024055376802217883
2022-11-02,-0.014503442749126573
2022-11-03,-0.0046841579452633906
2022-11-04,0.006900854606782683
2022-11-07,0.005944514868347555
2022-11-08,0.005135926551051889
2022-11-09,-0.012066239903273459
2022-11-10,0.030833047806445225
2022-11-11,0.003291959569744687
2022-11-14,-0.0032129385529238133
2022-11-15,0.005453869177847959
2022-11-16,-0.005289152053811366
2022-11-17,-0.001382893414470683
2022-11-18,0.002649459344283046
2022-11-21,-0.0027727626711188816
2022-11-22,0.00850174293171451
2022-11-23,0.004393838066881592
2022-11-25,0.0001758463730771779
2022-11-28,-0.006081552344297574
2022-11-29,-0.0011170680871789962
2022-11-30,0.019177309401035195
2022-12-01,-0.0005321902634069128
2022-12-02,-0.00029203576907097255
2022-12-05,-0.008677397527672217
2022-12-06,-0.007224327972932382
2022-12-07,-0.0011657055730140784
2022-12-08,0.012001201825131836
2022-12-09,-0.0023609943859801714
2022-12-12,0.013022406416969114
2022-12-13,0.0025243950866565903
2022-12-14,-0.0031306264923166706
2022-12-15,-0.01266201271609619
2022-12-16,-0.011709224263168757
2022-12-19,-0.011528439412468897
2022-12-20,-0.0036577721996725117
2022-12-21,0.017385638948011
2022-12-22,-0.020696375875819756
2022-12-23,0.00429900188734718
2022-12-27,-0.00987125100903184
2022-12-28,-0.006517801460607415
2022-12-29,0.027288508927406026
2022-12-30,-0.0002197851381652999
2023-01-03,-0.0073919163064976165
2023-01-04,0.019334737206618186
2023-01-05,-0.007630245380689531
2023-01-06,0.013899905246371377
2023-01-09,0.0003745694028163211
2023-01-10,0.003934152986070099
2023-01-11,0.00428299536364628
2023-01-12,0.0027864876224419476
2023-01-13,0.0019318368818628004
2023-01-17,-0.0005131783596968005
2023-01-18,-0.0069822060543141325
2023-01-19,-0.0029798506116542594
2023-01-20,0.01648818611771973
2023-01-23,0.006282101217550454
2023-01-24,0.0006426420643404242
2023-01-25,0.0009021411346046229
2023-01-26,0.005478401625199366
2023-01-27,0.0011227227842353228
2023-01-30,-0.005004593791872916
2023-01-31,0.005524093444107705
2023-02-01,0.004503874529848371
2023-02-02,0.0014094013775597443
2023-02-03,-0.004382639085601336
2023-02-06,-0.0018570740363663101
2023-02-07,0.003986583646429936
2023-02-08,-0.004926432973911422
2023-02-09,-0.0034224535042992723
2023-02-10,-0.0005982469939060551
2023-02-13,0.007916921451923934
2023-02-14,5.837798119739707e-05
2023-02-15,0.0015074210849301062
2023-02-16,-0.006801855204100817
2023-02-17,-0.0006491917333270093
2023-02-21,-0.010375189460078626
2023-02-22,-0.0006269699103327437
2023-02-23,0.007785458937560029
2023-02-24,-0.016354235542418393
2023-02-27,0.00834453162317586
2023-02-28,-0.0064606371497028265
2023-03-01,-0.005076576126155369
2023-03-02,0.013009297608236534
2023-03-03,0.02077941693133164
2023-03-06,0.0006293651213979679
2023-03-07,-0.007386161402801641
2023-03-08,0.0007817596426655775
2023-03-09,-0.012941454421777078
2023-03-10,-0.018959787209369017
2023-03-13,-0.0003841253148191238
2023-03-14,0.027631921760644728
2023-03-15,-0.007085092899621663
2023-03-16,0.02451614441560699
2023-03-17,-0.0043132214991498125
2023-03-20,0.005352624124630247
2023-03-21,0.007404451986012361
2023-03-22,-0.007912853479268376
2023-03-23,0.004225072460796992
2023-03-24,0.003076596339876261
2023-03-27,0.0016414272330424683
2023-03-28,-0.0008317198901030213
2023-03-29,0.007750373097341334
2023-03-30,0.003114692702950425
2023-03-31,0.008383144985660443
2023-04-03,0.0024605156650529527
2023-04-04,-0.002929025050962854
2023-04-05,0.000622521578212203
2023-04-06,0.00011045564483926589
2023-04-10,0.000921954891955886
2023-04-11,-0.000187558562196203
2023-04-12,-0.0029395453428407562
2023-04-13,0.008998824748535585
2023-04-14,-0.001103096093695973
2023-04-17,0.0007020773449612232
2023-04-18,0.0004359957175622561
2023-04-19,-0.0007856796121549832
2023-04-20,-0.0037562358700016277
2023-04-21,0.0019767755862968293
2023-04-24,0.00023368997313618457
2023-04-25,-0.008486303564977734
2023-04-26,-0.005893713553929813
2023-04-27,0.020075909228792807
2023-04-28,0.005848549290817257
2023-05-01,0.00047525680639955614
2023-05-02,-0.007473344679804835
2023-05-03,-0.005210038045698742
2023-05-04,-0.004656161867890071
2023-05-05,0.022177851509361107
2023-05-08,0.0013990423647127468
2023-05-09,-0.0024401881229594593
2023-05-10,0.0018844193706646427
2023-05-11,0.0012804260934121355
2023-05-12,-0.0010676942304849385
2023-05-15,0.0024367356781641453
2023-05-16,-0.0030891435397946906
2023-05-17,0.011149634106266468
2023-05-18,0.007059632482154947
2023-05-19,-0.0009986705948900408
2023-05-22,-0.0015773337670462457
2023-05-23,-0.007650064188160073
2023-05-24,-0.0037895744837752395
2023-05-25,0.0068016363686839295
2023-05-26,0.018451186424708384
2023-05-30,-0.0003108579359500935
2023-05-31,-0.0009172641150497659
2023-06-01,0.004283913106068677
2023-06-02,0.006200282466079679
2023-06-05,0.0003877026221468567
2023-06-06,0.00021508567389964036
2023-06-07,-0.004796439979504768
2023-06-08,0.006349429872748753
2023-06-09,0.0025032205429830574
2023-06-12,0.005972014082835578
2023-06-13,0.003371127794754938
2023-06-14,0.00040441621897029724
2023-06-15,0.007601027944688458
2023-06-16,-0.002763596490185163
2023-06-20,-0.00144971288961673
2023-06-21,-0.003799538094824886
2023-06-22,0.0023585480356007184
2023-06-23,-0.003488968260846475
2023-06-26,-0.002104721961935036
2023-06-27,0.004027545711234081
2023-06-28,-0.0003484814501406741
2023-06-29,0.0021118369762502262
2023-06-30,0.005985414458245002
2023-07-03,0.0018136703385157995
2023-07-05,-0.0014471164508789566
2023-07-06,-0.005869872193976986
2023-07-07,-0.0025735137962659606
2023-07-10,0.003968920435590687
2023-07-11,0.003188028563679591
2023-07-12,0.0038944951728234825
2023-07-13,0.005373913815390917
2023-07-14,0.0012515308070570152
2023-07-17,0.002901227427263483
2023-07-18,0.0038184370728536537
2023-07-19,0.0018097713017766785
2023-07-20,-0.004150060632144861
2023-07-21,0.0001492430104244627
2023-07-24,0.0005346563377533663
2023-07-25,0.0014003910496383886
2023-07-26,-0.0002755091115614225
2023-07-27,-0.0013202748098280254
2023-07-28,0.005233393184522725
2023-07-31,0.0004187398346876908
2023-08-01,-0.0013948314864044612
2023-08-02,-0.00549918454844446
2023-08-03,-0.0009840476125858185
2023-08-04,-0.0003135384704999725
2023-08-07,0.0057826222373521564
2023-08-08,-0.0028488958580362954
2023-08-09,-0.0033138940856477493
2023-08-10,0.0016069893360402966
2023-08-11,-0.0008938917261417025
2023-08-14,0.0027754068333209238
2023-08-15,-0.0045709159691878455
2023-08-16,-0.009669704664567791
2023-08-17,-0.011942054920010773
2023-08-18,-0.0027829345340141124
2023-08-21,0.01522569178232293
2023-08-22,-0.004032279964560959
2023-08-23,0.013559579166500253
2023-08-24,-0.006549648334173215
2023-08-25,0.00626298691372515
2023-08-28,0.0044275409147836115
2023-08-29,0.008464964527659378
2023-08-30,0.002144945480256642
2023-08-31,-0.001069024350178357
2023-09-01,-0.0013319096157357675
2023-09-05,-0.0018694177923063013
2023-09-06,-0.002797666622227961
2023-09-07,-0.0011702084381664455
2023-09-08,0.0009296257039913183
2023-09-11,0.005960885133858683
2023-09-12,-0.00345903955839256
2023-09-13,0.0006343985409124463
2023-09-14,0.004268374309451105
2023-09-15,-0.007003632449900344
2023-09-18,0.0005237498687081406
2023-09-19,-0.0013854311775045468
2023-09-20,-0.0044186247931857665
2023-09-21,-0.011201582029302569
2023-09-22,-0.0037895072213513467
2023-09-25,0.005300573887179729
2023-09-26,-0.015037844728543602
2023-09-27,-0.0004842378136626171
2023-09-28,0.0137968219459559
2023-09-29,-0.00618981667573753
2023-10-02,0.005084338835066279
2023-10-03,-0.02593372657271502
2023-10-04,0.014441397723654489
2023-10-05,-0.0003405212167718134
2023-10-06,0.015426428016751849
2023-10-09,0.0018961391674591041
2023-10-10,0.0034003714181712295
2023-10-11,-0.00038092977624715207
2023-10-12,-0.0032883486302871462
2023-10-13,-0.001521118703931297
2023-10-16,0.006496260700014252
2023-10-17,6.261058022433792e-05
2023-10-18,-0.008000756018992727
2023-10-19,-0.00571140536196077
2023-10-20,-0.009347713723392733
2023-10-23,-0.0006319223272762707
2023-10-24,0.014628251980947448
2023-10-25,-0.022377091975937236
2023-10-26,-0.022546533436868944
2023-10-27,-0.008461157944844814
2023-10-30,0.02085627713489752
2023-10-31,0.010827752244737913
2023-11-01,0.012262440172304552
2023-11-02,0.013087890656051553
2023-11-03,0.004641011261820134
2023-11-06,0.0009741296221461227
