,0
2022-05-24,-0.011192407315198931
2022-05-25,0.013169925455469203
2022-05-26,0.03597331633646641
2022-05-27,0.0306711848629492
2022-05-31,-0.004504847399684688
2022-06-01,-0.0026030813338710213
2022-06-02,0.010381379716330501
2022-06-03,-0.0077990677850707105
2022-06-06,0.0022774016535198342
2022-06-07,0.0038787483622437944
2022-06-08,-0.0036443557122928846
2022-06-09,-0.008286946489922349
2022-06-10,-0.01566987134055691
2022-06-13,-0.014979770784397604
2022-06-14,-0.005792234793588804
2022-06-15,0.030445060655251297
2022-06-16,-0.01248145732118151
2022-06-17,0.007277227774556888
2022-06-21,0.03594688415859755
2022-06-22,0.0012557028199699964
2022-06-23,0.009987292028963948
2022-06-24,0.035430559661048924
2022-06-27,-0.004532181780129847
2022-06-28,-0.00806802807150708
2022-06-29,-0.0005875950515366942
2022-06-30,-0.0037355669008681805
2022-07-01,0.010498035953494057
2022-07-05,0.0011253755338836958
2022-07-06,-0.00013339118004936483
2022-07-07,0.024686909130073053
2022-07-08,0.0004185898019698361
2022-07-11,-0.01854333079549573
2022-07-12,-0.003456242123363967
2022-07-13,-0.0021215073254260293
2022-07-14,-0.001694179290290506
2022-07-15,0.03748088328601884
2022-07-18,-0.007245111248497305
2022-07-19,0.051950725551858964
2022-07-20,0.004621775977536658
2022-07-21,0.004723555614988964
2022-07-22,-0.003482020408361837
2022-07-25,0.000767939206351436
2022-07-26,-0.006105029889839891
2022-07-27,0.023356780121256505
2022-07-28,0.0035535078520322672
2022-07-29,0.004524665927407264
2022-08-01,-0.000890456606457167
2022-08-02,-0.0009293203228077401
2022-08-03,0.008361283972178852
2022-08-04,0.0007502119299037281
2022-08-05,-0.0015611604245910778
2022-08-08,-0.002111913893283787
2022-08-09,-0.003022434894381387
2022-08-10,0.011648629505979556
2022-08-11,-0.00023100750213348793
2022-08-12,0.010567291775265955
2022-08-15,0.003972064863009255
2022-08-16,-9.562007233422603e-05
2022-08-17,-0.003725008549978335
2022-08-18,0.004101497931015369
2022-08-19,-0.0074086334911814
2022-08-22,-0.00997022194831453
2022-08-23,-0.002131855578730928
2022-08-24,0.008479013605189805
2022-08-25,0.018244924066982516
2022-08-26,-0.021002632623009714
2022-08-29,-0.00922639754225023
2022-08-30,-0.003518079163221793
2022-08-31,-0.006896634977703231
2022-09-01,0.0006243394330557413
2022-09-02,-0.004275046805764451
