date,return
2020-01-02,0.009126666521534295
2020-01-03,-0.008744529555851595
2020-01-06,0.003777138006880848
2020-01-07,-0.005003881286174043
2020-01-08,0.004347719770215487
2020-01-09,0.004915731191556904
2020-01-10,-0.003395227827459561
2020-01-13,0.00586097426959498
2020-01-14,-0.004135098540201808
2020-01-15,0.0025590794478841617
2020-01-16,0.007407424436232062
2020-01-17,0.0031216564682312567
2020-01-21,-0.0009981982255392048
2020-01-22,0.0026083680715188176
2020-01-23,-0.0034513251326009527
2020-01-24,-0.007682323826992851
2020-01-27,-0.014897678040435548
2020-01-28,0.008043307347066745
2020-01-29,-0.0038560125250723114
2020-01-30,0.00585957143279165
2020-01-31,-0.01487969049133733
2020-02-03,0.005926713533032651
2020-02-04,0.013470462042685602
2020-02-05,0.009620286730000724
2020-02-06,0.0029884441766888222
2020-02-07,-0.0034635681430343398
2020-02-10,0.0066551254212111185
2020-02-11,-0.0018513026823308429
2020-02-12,0.003945166362772683
2020-02-13,-0.002773006318016878
2020-02-14,-0.0012049250314906234
2020-02-18,-0.0009724641244402207
2020-02-19,0.004636398271158337
2020-02-20,-0.0026207109505887796
2020-02-21,-0.009517377360358858
2020-02-24,-0.03439963343930614
2020-02-25,-0.028654967242987838
2020-02-26,-0.004621749019996275
2020-02-27,-0.03996162519337514
2020-02-28,-0.011690700688998218
2020-03-02,0.04331232270601017
2020-03-03,-0.03239221679873021
2020-03-04,0.041965105381689946
2020-03-05,-0.030012413787197302
2020-03-06,-0.014933468487504882
2020-03-09,-0.0662105425988175
2020-03-10,0.04805503611321188
2020-03-11,-0.0419924695906751
2020-03-12,-0.09250842994062602
2020-03-13,0.10017475122995677
2020-03-16,-0.11585484030172391
2020-03-17,0.07363685456513794
2020-03-18,-0.03785706064451534
2020-03-19,-0.0009422351879966
2020-03-20,-0.04748020045911055
2020-03-23,-0.0379112927809879
2020-03-24,0.0865757263848632
2020-03-25,0.005399954203628059
2020-03-26,0.05874461445291343
2020-03-27,-0.04124167244234683
2020-03-30,0.03282334951025247
2020-03-31,-0.018343636910319344
2020-04-01,-0.034916455586046
2020-04-02,0.030291455448210214
2020-04-03,-0.008999272995471942
2020-04-06,0.05550713377110652
2020-04-07,-0.00018282608697559846
2020-04-08,0.02489940670778598
2020-04-09,0.020870362455599048
2020-04-13,0.0007034986498951112
2020-04-14,0.03160086395873128
2020-04-15,-0.025280130182500908
2020-04-16,-0.001780006180606794
2020-04-17,0.03246775218689813
2020-04-20,-0.01917480106963591
2020-04-21,-0.025922800320465112
2020-04-22,0.0203992716633677
2020-04-23,0.002662363497510536
2020-04-24,0.013992544724777371
2020-04-27,0.015917817351639232
2020-04-28,-0.00532889294107627
2020-04-29,0.02324856974500044
2020-04-30,-0.003731392380304608
2020-05-01,-0.02356851709767429
2020-05-04,0.008893766512528042
2020-05-05,0.0059324842680283174
2020-05-06,-0.007046220553075955
2020-05-07,0.0056588001446966334
2020-05-08,0.023788383580673388
2020-05-11,-0.0011297260788380521
2020-05-12,-0.018441031143281602
2020-05-13,-0.009366232788417502
2020-05-14,0.017478468123696744
2020-05-15,0.012201203562337892
2020-05-18,0.018266057058773953
2020-05-19,-0.015887084322419063
2020-05-20,0.01614838868337125
2020-05-21,-0.006863911502901474
2020-05-22,0.0018060189329758402
2020-05-26,0.009282624845013018
2020-05-27,0.011680032992821186
2020-05-28,-0.004761466304913137
2020-05-29,0.004988219468913973
2020-06-01,-0.0041850714875459735
2020-06-02,0.007271462759882223
2020-06-03,0.008206015225160878
2020-06-04,-0.006042458076324362
2020-06-05,0.026221550426524083
2020-06-08,0.01111244873933489
2020-06-09,-0.0032355965250245957
2020-06-10,-0.008633127639174475
2020-06-11,-0.05881923214997353
2020-06-12,0.013776910952463767
2020-06-15,0.005379748012289381
2020-06-16,0.016060106348946716
2020-06-17,-0.0057834807113744165
2020-06-18,0.000275812004802759
2020-06-19,-0.0037983484242391195
2020-06-22,0.0038934744634050943
2020-06-23,0.004556654009846978
2020-06-24,-0.02375852505182103
2020-06-25,0.010407853276625254
2020-06-26,-0.02405712431473659
2020-06-29,0.0129093378434293
2020-06-30,0.011375831314451988
2020-07-01,0.007505887211622665
2020-07-02,0.004176136121094177
2020-07-06,0.01571030910238808
2020-07-07,-0.010268328007804204
2020-07-08,0.009948447228197047
2020-07-09,-0.008147373754195927
2020-07-10,0.012048845435678973
2020-07-13,-0.0021388460263610117
2020-07-14,0.01610969134747981
2020-07-15,0.0035328459432721095
2020-07-16,-0.0038274600796005527
2020-07-17,-0.0025722173179805173
2020-07-20,0.009787371615950271
