date,return
2020-01-02,0.007781287101639374
2020-01-03,-0.007610352974461378
2020-01-06,0.006127009851410964
2020-01-07,-0.00587791752786189
2020-01-08,0.0036306042123213653
2020-01-09,0.007835568040206116
2020-01-10,-0.001969350576639623
2020-01-13,0.007320505244979567
2020-01-14,-0.00805142116329305
2020-01-15,0.002808477658858555
2020-01-16,0.007887790978342192
2020-01-17,0.0061513180395811745
2020-01-21,0.00043196385739744324
2020-01-22,0.0004137371741086158
2020-01-23,0.0004902402774394127
2020-01-24,-0.010393931369025201
2020-01-27,-0.016649140019422408
2020-01-28,0.007698472413647941
2020-01-29,-0.0013559942882619726
2020-01-30,0.01188541266304724
2020-01-31,-0.017798748175270863
2020-02-03,0.006187566318772717
2020-02-04,0.012087724641479553
2020-02-05,0.012405090267799781
2020-02-06,0.0022379587174058183
2020-02-07,-0.004560566050197928
2020-02-10,0.007909426338993004
2020-02-11,-0.0008138584468438943
2020-02-12,0.007432563802827158
2020-02-13,-0.0035535755560472454
2020-02-14,-0.0007810114937648697
2020-02-18,-0.004343692469507393
2020-02-19,0.0054410002026930235
2020-02-20,-0.0015036923637091948
2020-02-21,-0.008877308023013215
2020-02-24,-0.03746263298965239
2020-02-25,-0.023921660189941532
2020-02-26,-0.002027091839212927
2020-02-27,-0.04333270198861134
2020-02-28,-0.011953338282190274
2020-03-02,0.04801617806657398
2020-03-03,-0.031367768702760326
2020-03-04,0.04177416791478173
2020-03-05,-0.032319829193111535
2020-03-06,-0.010005541287694144
2020-03-09,-0.08860650892673434
2020-03-10,0.058232620387308344
2020-03-11,-0.0452916570928991
2020-03-12,-0.09965249402248118
2020-03-13,0.11070467724025622
2020-03-16,-0.11309501385196301
2020-03-17,0.06167268749999995
2020-03-18,-0.041885124999999995
2020-03-19,0.010619875000000036
2020-03-20,-0.046799125000000004
2020-03-23,-0.027949749975785594
2020-03-24,0.10259806249999995
2020-03-25,0.010148750000000019
2020-03-26,0.057595875000000005
2020-03-27,-0.037088250000000024
2020-03-30,0.033324964304381956
2020-03-31,-0.022482585810462488
2020-04-01,-0.03683693328539657
2020-04-02,0.029852641937923176
2020-04-03,-0.01630329747315774
2020-04-06,0.06331757482706749
2020-04-07,-0.0030671028334609777
2020-04-08,0.023097305146060867
2020-04-09,0.017435861785963246
2020-04-13,-0.00643504700247947
2020-04-14,0.03141744121524133
2020-04-15,-0.021301604769574455
2020-04-16,-0.0005980119787379952
2020-04-17,0.02586388667115009
2020-04-20,-0.0152102060236428
2020-04-21,-0.025515914034657215
2020-04-22,0.010609853205025213
2020-04-23,-0.00043840108133851757
2020-04-24,0.009970503056645413
2020-04-27,0.015200966300338478
2020-04-28,-0.009731133179703732
2020-04-29,0.02287233856571465
2020-04-30,-0.009626452489025869
2020-05-01,-0.01746477405932171
2020-05-04,0.0019446536478139407
2020-05-05,0.007795708345912358
2020-05-06,-0.005758722692508282
2020-05-07,0.003201616183105901
2020-05-08,0.015210078437231397
2020-05-11,0.0038526353273690087
2020-05-12,-0.01541087720038185
2020-05-13,-0.012497127914674583
2020-05-14,0.01298685682369768
2020-05-15,0.011174050578199349
2020-05-18,0.014507592572389153
2020-05-19,-0.01481645929494502
2020-05-20,0.014654513696204895
