,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown
TiltPPO_ts03_1M,0.7793610915120497,0.1223605499378515,0.2050446219463004,0.666057544451663,0.3613861668893497,0.8121644679515869,0.3385867007336676
TiltPPO_ts05_1M,0.7024617394521624,0.11247163539327598,0.2055532842659173,0.6217981196584994,0.3367145513819018,0.760636440535694,0.3340266553128873
TiltPPO_ts08_1M,0.531226725151277,0.08909743741733878,0.20669246414276135,0.5167491281599691,0.2570317721108144,0.6314150174020884,0.3466397818668351
TiltPPO_ts10_1M,0.3119082336233705,0.055888793819285576,0.20779533247509255,0.3660726392786969,0.16778968537990724,0.4489089613671617,0.3330883760389853
TiltPPO_ts03_sharpe_1M,0.7641905584761282,0.1204371277681704,0.20501240962796816,0.657783410398936,0.35424704854267813,0.7987273971583383,0.33998061032161475
TiltPPO_ts03_2M,0.7685301690735598,0.12098867909271416,0.20560670851996485,0.6588626350607915,0.35903074291010484,0.7989376750091188,0.33698696137285283
