,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown
PPO_lit_composite,0.5753611750515808,0.09531437540714505,0.21164761995494188,0.5360732080697639,0.31052177753410676,0.6879084111573694,0.3069490847439066
PPO_lit_dsr,0.6005512100824557,0.09880054307325437,0.22238605245695897,0.5352888236432354,0.2558126007836429,0.6639375619765902,0.38622234702510344
PPO_lit_sharpe,0.7260385274780716,0.11554083079321531,0.21097008434582862,0.6241908160282849,0.3583538048773942,0.7713493094935753,0.322421107912461
PPO_lit_return,0.5472088628810847,0.09136509288270833,0.21671184105088265,0.5120995483901808,0.27752391012515926,0.6358754868373695,0.32921521191274655
PPO_optuna_composite,0.832559375737314,0.12900341151255534,0.20981715409684085,0.6834006454121382,0.4423006104482444,0.8776092942556192,0.2916645567859794
PPO_hybrid,0.6935918747906347,0.11130816567564605,0.21225491315621323,0.6036989746784753,0.34300132041124726,0.7533591665206668,0.3245123533116177
